timestamp,level,component,message
2025-12-26T10:07:56.791056,ERROR,message_generator,OpenAI failure: OPENAI_API_KEY not set; falling back to template
2025-12-26T10:07:56.901039,ERROR,helpers,Attempt 1 failed: fail; retrying in 0.01s
2025-12-26T10:07:56.913642,ERROR,helpers,Attempt 2 failed: fail; retrying in 0.02s
2025-12-26T10:07:56.935735,INFO,helpers,Sleeping for 0.02s
2025-12-26T10:13:53.039885,ERROR,login,"Login timeout: Message: 
Stacktrace:
Symbols not available. Dumping unresolved backtrace:
	0x7ff6abf588e5
	0x7ff6abf58940
	0x7ff6abd3165d
	0x7ff6abd89a33
	0x7ff6abd89d3c
	0x7ff6abdddf67
	0x7ff6abddac97
	0x7ff6abd7ac29
	0x7ff6abd7ba93
	0x7ff6ac270640
	0x7ff6ac26af80
	0x7ff6ac2896e6
	0x7ff6abf75de4
	0x7ff6abf7ed8c
	0x7ff6abf62004
	0x7ff6abf621b5
	0x7ff6abf47ee2
	0x7ffef7b6e8d7
	0x7ffef8e2c53c
"
2025-12-26T10:13:53.042893,ERROR,automation_flow,"Login failed, aborting flow"
2025-12-26T10:13:55.466617,INFO,automation_flow,Flow completed
2025-11-27T13:58:52.770186,INFO,search_profiles,Why unit support coach.
2025-12-18T10:52:52.771001,INFO,automation_flow,Loss ten total clearly able hospital unit size expect.
2025-12-07T20:30:52.771051,INFO,send_connection,Product main couple design around save article finish anyone live.
2025-12-19T05:55:52.771075,INFO,scheduler,Church whether bag control organization push dog build three east.
2025-12-25T07:18:52.771095,INFO,scheduler,Always bank price north first end prove fire enter capital.
2025-12-04T20:49:52.771114,INFO,send_message,Lead upon very act perform none beyond.
2025-12-06T19:54:52.771131,INFO,follow_up,Defense enter value thing these hard citizen street region particularly.
2025-11-29T09:44:52.771148,INFO,automation_flow,Account stage federal professional voice care break blood network evening.
2025-11-27T16:39:52.771166,INFO,automation_flow,Decision garden reach table measure economy traditional anything plant stop.
2025-12-16T07:09:52.771183,INFO,send_message,About side PM energy scientist.
2025-12-25T10:31:52.771198,INFO,follow_up,Relationship night born war real chance along hard need involve.
2025-12-02T04:55:52.771215,WARNING,scheduler,Final together someone team together.
2025-12-06T00:34:52.771231,INFO,follow_up,Radio project government nice themselves wind.
2025-12-20T06:04:52.771248,INFO,follow_up,Understand door class son computer include.
2025-11-25T17:29:52.771263,INFO,send_connection,Say forward us soon ten specific.
2025-12-11T10:20:52.771279,WARNING,scheduler,City red him although likely current truth.
2025-12-01T01:12:52.771294,INFO,follow_up,Figure somebody dinner age cover foreign ten whom.
2025-11-26T08:22:52.771310,INFO,scheduler,Go meeting quickly such former agree theory.
2025-12-23T16:38:52.771325,INFO,automation_flow,Condition while enter board its rock finish.
2025-12-10T17:17:52.771341,INFO,scheduler,Worker break tonight couple and job mind southern rather vote.
